Fecha;UF
01/05/2015;24759,71
02/05/2015;24764,65
03/05/2015;24769,59
04/05/2015;24774,53
05/05/2015;24779,47
06/05/2015;24784,41
07/05/2015;24789,35
08/05/2015;24794,29
09/05/2015;24799,24
